Source:,https://covid19.healthdata.org/kenya?view=resource-use&tab=trend&resource=all_resources
,
Date,All Beds (Average Estimate)
12/25/2020,13261.7
12/26/2020,13548.39
12/27/2020,13837.28
12/28/2020,14128.14
12/29/2020,14420.78
12/30/2020,14714.95
12/31/2020,15010.24
1/1/2021,15306.34
1/2/2021,15602.94
1/3/2021,15899.73
1/4/2021,16196.4
1/5/2021,16492.61
1/6/2021,16788.68
1/7/2021,17084.24
1/8/2021,17378.23
1/9/2021,17670.26
1/10/2021,17959.95
1/11/2021,18246.93
1/12/2021,18530.92
1/13/2021,18811.31
1/14/2021,19087.37
1/15/2021,19358.68
1/16/2021,19624.83
1/17/2021,19885.49
1/18/2021,20140.57
1/19/2021,20389.9
1/20/2021,20633.13
1/21/2021,20869.84
1/22/2021,21099.64
1/23/2021,21321.34
1/24/2021,21534.57
1/25/2021,21739.85
1/26/2021,21936.22
1/27/2021,22123.63
1/28/2021,22302.68
1/29/2021,22473.14
1/30/2021,22634.68
1/31/2021,22786.13
2/1/2021,22927.11
